Date,Rig_count,Oil_Price
12/1/19,348,50.54
11/1/19,565,57.52
10/1/19,771,59.88
9/1/19,790,57.03
8/1/19,791,53.96
7/1/19,804,56.95
6/1/19,810,54.81
5/1/19,848,57.35
4/1/19,878,54.66
3/1/19,926,60.83
2/1/19,955,63.86
1/1/19,970,58.15
12/1/18,986,54.95
11/1/18,1013,51.38
10/1/18,1023,49.52
9/1/18,1048,56.96
8/1/18,1065,70.75
7/1/18,1077,70.23
6/1/18,1077,68.06
5/1/18,1063,70.98
4/1/18,1053,67.87
3/1/18,1050,69.98
2/1/18,1050,66.25
1/1/18,1056,62.73
12/1/17,1046,62.23
11/1/17,1011,63.7
10/1/17,989,57.88
9/1/17,969,56.64
8/1/17,937,51.58
7/1/17,930,49.82
6/1/17,911,48.04
5/1/17,922,46.63
4/1/17,940,45.18
3/1/17,947,48.48
2/1/17,953,51.06
1/1/17,931,49.33
12/1/16,893,53.47
11/1/16,853,52.5
10/1/16,789,51.97
9/1/16,744,45.66
8/1/16,683,49.78
7/1/16,634,45.18
6/1/16,580,44.72
5/1/16,543,44.65
4/1/16,509,48.76
3/1/16,481,46.71
2/1/16,449,40.75
1/1/16,417,37.55
12/1/15,407,30.32
11/1/15,437,31.68
10/1/15,477,37.19
9/1/15,532,42.44
8/1/15,643,46.22
7/1/15,711,45.48
6/1/15,760,42.87
5/1/15,791,50.9
4/1/15,848,59.82
3/1/15,883,59.27
2/1/15,866,54.45
1/1/15,861,47.82
12/1/14,889,50.58
11/1/14,976,47.22
10/1/14,1109,59.29
9/1/14,1348,75.79
8/1/14,1683,84.4
7/1/14,1882,93.21
6/1/14,1925,96.54
5/1/14,1924,103.59
4/1/14,1930,105.79
3/1/14,1904,102.18
2/1/14,1876,102.07
1/1/14,1861,100.8
12/1/13,1859,100.82
11/1/13,1835,94.62
10/1/13,1803,97.63
9/1/13,1769,93.86
8/1/13,1769,100.54
7/1/13,1771,106.29
6/1/13,1756,106.57
5/1/13,1744,104.67
4/1/13,1760,95.77
3/1/13,1781,94.51
2/1/13,1766,92.02
1/1/13,1761,92.94
12/1/12,1767,95.31
11/1/12,1755,94.76
10/1/12,1756,87.86
9/1/12,1762,86.53
8/1/12,1756,89.49
7/1/12,1784,94.51
6/1/12,1809,94.13
5/1/12,1834,87.9
4/1/12,1859,82.3
3/1/12,1913,94.66
2/1/12,1944,103.32
1/1/12,1972,106.16
12/1/11,1977,102.2
11/1/11,1961,100.27
10/1/11,1979,98.56
9/1/11,1990,97.16
8/1/11,2003,86.32
7/1/11,2003,85.52
6/1/11,2011,86.33
5/1/11,2017,97.3
4/1/11,1978,96.26
3/1/11,1957,100.9
2/1/11,1900,109.53
1/1/11,1863,102.86
12/1/10,1836,88.58
11/1/10,1790,89.17
10/1/10,1720,89.15
9/1/10,1718,84.25
8/1/10,1711,81.89
7/1/10,1711,75.24
6/1/10,1683,76.6
5/1/10,1668,76.32
4/1/10,1655,75.34
3/1/10,1638,73.74
2/1/10,1573,84.29
3/1/10,1531,81.2
4/1/10,1513,76.39
5/1/10,1479,78.33
6/1/10,1419,74.47
7/1/10,1350,77.99
8/1/10,1267,75.72