,YearMonth,"Retail Price of Electricity in Commercial Sector, U.S. Average, Monthly,cents per kilowatthour"
0,202112,10.64695
1,202111,10.87087
2,202110,11.09009
3,202109,11.31071
4,202108,11.22621
5,202107,11.16829
6,202106,11.01993
7,202105,10.65977
8,202104,10.55245
9,202103,10.45048
10,202102,10.33268
11,202101,10.1752
12,202012,10.16805
13,202011,10.37463
14,202010,10.59571
15,202009,10.8378
16,202008,10.81233
17,202007,10.82794
18,202006,10.75772
19,202005,10.48122
20,202004,10.42
21,202003,10.41
22,202002,10.36
23,202001,10.28
24,201912,10.31
25,201911,10.52
26,201910,10.74
27,201909,10.97
28,201908,11.01
29,201907,11.01
30,201906,10.88
31,201905,10.51
32,201904,10.51
33,201903,10.45
34,201902,10.54
35,201901,10.3
36,201812,10.33
37,201811,10.54
38,201810,10.77
39,201809,10.72
40,201808,11.03
41,201807,11.0
42,201806,10.84
43,201805,10.51
44,201804,10.46
45,201803,10.51
46,201802,10.65
47,201801,10.49
48,201712,10.28
49,201711,10.49
50,201710,10.78
51,201709,11.03
52,201708,11.01
53,201707,10.97
54,201706,11.01
55,201705,10.59
56,201704,10.4
57,201703,10.46
58,201702,10.48
59,201701,10.21
60,201612,10.17
61,201611,10.32
62,201610,10.55
63,201609,10.77
64,201608,10.76
65,201607,10.68
66,201606,10.66
67,201605,10.31
68,201604,10.19
69,201603,10.23
70,201602,10.25
71,201601,10.08
72,201512,10.13
73,201511,10.3
74,201510,10.73
75,201509,10.98
76,201508,10.94
77,201507,11.07
78,201506,10.89
79,201505,10.47
80,201504,10.37
81,201503,10.63
82,201502,10.62
83,201501,10.31
84,201412,10.36
85,201411,10.52
86,201410,10.83
87,201409,11.16
88,201408,11.05
89,201407,11.17
90,201406,10.96
91,201405,10.54
92,201404,10.46
93,201403,10.65
94,201402,10.68
95,201401,10.35
96,201312,9.96
97,201311,10.03
98,201310,10.28
99,201309,10.53
100,201308,10.69
101,201307,10.7
102,201306,10.65
103,201305,10.22
104,201304,9.96
105,201303,10.02
106,201302,10.06
107,201301,9.77
108,201212,9.81
109,201211,9.89
110,201210,10.08
111,201209,10.5
112,201208,10.39
113,201207,10.39
114,201206,10.39
115,201205,9.96
116,201204,9.82
117,201203,9.84
118,201202,9.94
119,201201,9.84
120,201112,9.77
121,201111,9.98
122,201110,10.25
123,201109,10.59
124,201108,10.72
125,201107,10.67
126,201106,10.66
127,201105,10.19
128,201104,9.96
129,201103,9.93
130,201102,9.99
131,201101,9.78
132,201012,9.82
133,201011,9.99
134,201010,10.25
135,201009,10.52
136,201008,10.62
137,201007,10.72
138,201006,10.56
139,201005,10.15
140,201004,9.95
141,201003,9.95
142,201002,9.89
143,201001,9.55
144,200912,9.7
145,200911,9.78
146,200910,10.13
147,200909,10.45
148,200908,10.52
149,200907,10.56
150,200906,10.46
151,200905,10.11
152,200904,9.87
153,200903,9.96
154,200902,10.2
155,200901,9.96
156,200812,9.92
157,200811,10.16
158,200810,10.41
159,200809,10.77
160,200808,11.07
161,200807,11.1
162,200806,10.87
163,200805,10.05
164,200804,9.79
165,200803,9.62
166,200802,9.46
167,200801,9.39
168,200712,9.42
169,200711,9.5
170,200710,9.77
171,200709,9.9
172,200708,10.07
173,200707,10.14
174,200706,9.95
175,200705,9.51
176,200704,9.38
177,200703,9.35
178,200702,9.34
179,200701,9.12
180,200612,9.08
181,200611,9.24
182,200610,9.51
183,200609,9.89
184,200608,10.04
185,200607,9.97
186,200606,9.88
187,200605,9.22
188,200604,9.17
189,200603,9.06
190,200602,9.14
191,200601,8.87
192,200512,8.81
193,200511,8.81
194,200510,8.96
195,200509,9.24
196,200508,9.18
197,200507,9.07
198,200506,8.97
199,200505,8.48
200,200504,8.29
201,200503,8.21
202,200502,8.21
203,200501,7.98
204,200412,7.82
205,200411,8.04
206,200410,8.23
207,200409,8.54
208,200408,8.7
209,200407,8.63
210,200406,8.49
211,200405,7.99
212,200404,7.89
213,200403,7.92
214,200402,7.85
215,200401,7.7
216,200312,7.7
217,200311,7.85
218,200310,8.09
219,200309,8.15
220,200308,8.46
221,200307,8.55
222,200306,8.44
223,200305,8.06
224,200304,7.93
225,200303,7.78
226,200302,7.65
227,200301,7.45
228,200212,7.59
229,200211,7.64
230,200210,8.0
231,200209,8.0
232,200208,8.24
233,200207,8.33
234,200206,8.18
235,200205,7.84
236,200204,7.68
237,200203,7.72
238,200202,7.68
239,200201,7.49
240,200112,7.66
241,200111,7.73
242,200110,8.27
243,200109,8.22
244,200108,8.35
245,200107,8.41
246,200106,8.13
247,200105,7.77
248,200104,7.73
249,200103,7.7
250,200102,7.51
251,200101,7.25
252,200012,7.52
253,200011,7.34
254,200010,7.67
255,200009,7.73
256,200008,7.93
257,200007,7.76
258,200006,7.7
259,200005,7.25
260,200004,7.05
261,200003,7.03
262,200002,6.96
263,200001,6.93
264,199912,6.88
265,199911,7.13
266,199910,7.41
267,199909,7.45
268,199908,7.49
269,199907,7.56
270,199906,7.42
271,199905,7.21
272,199904,7.08
273,199903,7.15
274,199902,7.18
275,199901,6.99
276,199812,7.11
277,199811,7.11
278,199810,7.44
279,199809,7.55
280,199808,7.67
281,199807,7.69
282,199806,7.61
283,199805,7.45
284,199804,7.31
285,199803,7.28
286,199802,7.29
287,199801,7.22
288,199712,7.24
289,199711,7.43
290,199710,7.66
291,199709,7.86
292,199708,7.91
293,199707,7.86
294,199706,7.88
295,199705,7.58
296,199704,7.4
297,199703,7.44
298,199702,7.38
299,199701,7.27
300,199612,7.29
301,199611,7.52
302,199610,7.84
303,199609,7.96
304,199608,7.99
305,199607,7.95
306,199606,7.72
307,199605,7.62
308,199604,7.48
309,199603,7.46
310,199602,7.39
311,199601,7.31
312,199512,7.36
313,199511,7.6
314,199510,7.85
315,199509,7.84
316,199508,7.95
317,199507,8.06
318,199506,7.95
319,199505,7.64
320,199504,7.5
321,199503,7.53
322,199502,7.49
323,199501,7.33
324,199412,7.39
325,199411,7.53
326,199410,7.95
327,199409,8.2
328,199408,8.1
329,199407,8.08
330,199406,7.99
331,199405,7.7
332,199404,7.47
333,199403,7.49
334,199402,7.51
335,199401,7.38
336,199312,7.41
337,199311,7.68
338,199310,8.08
339,199309,8.05
340,199308,7.99
341,199307,8.0
342,199306,7.98
343,199305,7.74
344,199304,7.47
345,199303,7.41
346,199302,7.36
347,199301,7.3
348,199212,7.39
349,199211,7.51
350,199210,7.86
351,199209,7.95
352,199208,7.91
353,199207,7.91
354,199206,7.86
355,199205,7.58
356,199204,7.4
357,199203,7.41
358,199202,7.36
359,199201,7.28
360,199112,7.28
361,199111,7.45
362,199110,7.78
363,199109,7.74
364,199108,7.72
365,199107,7.71
366,199106,7.62
367,199105,7.49
368,199104,7.34
369,199103,7.35
370,199102,7.34
371,199101,7.15
372,199012,7.17
373,199011,7.33
374,199010,7.58
375,199009,7.49
376,199008,7.53
377,199007,7.52
378,199006,7.49
379,199005,7.31
380,199004,7.19
381,199003,7.22
382,199002,7.15
383,199001,6.93
